key,sr_refnum,has_title,has_author,source,title_confidence,author_confidence,needs_human_review,problem_reason
Malgaroli2023_ref0001,1,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0002,2,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0003,3,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0004,4,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0005,5,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0006,6,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0007,7,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0008,8,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0009,9,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0010,10,true,true,local,0.60,0.55,false,from_org_lead
Malgaroli2023_ref0011,11,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0012,12,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0013,13,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0014,14,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0015,15,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0016,16,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0017,17,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0018,18,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0019,19,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0020,20,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0021,21,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0022,22,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0023,23,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0024,24,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0025,25,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0026,26,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0027,27,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0028,28,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0029,29,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0030,30,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0031,31,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0032,32,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0033,33,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0034,34,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0035,35,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0036,36,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0037,37,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0038,38,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0039,39,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0040,40,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0041,41,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0042,42,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0043,43,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0044,44,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0045,45,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0046,46,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0047,47,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0048,48,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0049,49,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0050,50,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0051,51,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0052,52,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0053,53,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0054,54,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0055,55,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0056,56,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0057,57,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0058,58,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0059,59,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0060,60,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0061,61,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0062,62,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0063,63,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0064,64,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0065,65,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0066,66,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0067,67,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0068,68,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0069,69,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0070,70,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0071,71,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0072,72,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0073,73,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0074,74,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0075,75,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0076,76,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0077,77,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0078,78,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0079,79,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0080,80,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0081,81,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0082,82,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0083,83,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0084,84,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0085,85,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0086,86,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0087,87,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0088,88,true,true,crossref,0.90,0.85,false,from_after_authors
Malgaroli2023_ref0089,89,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0090,90,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0091,91,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0092,92,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0093,93,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0094,94,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0095,95,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0096,96,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0097,97,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0098,98,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0099,99,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0100,100,true,true,local,0.60,0.55,false,from_first_segment
Malgaroli2023_ref0101,101,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0102,102,true,true,crossref,0.90,0.85,false,from_after_authors
Malgaroli2023_ref0103,103,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0104,104,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0105,105,true,true,local,0.75,0.55,false,from_after_authors
Malgaroli2023_ref0106,106,true,true,local,0.75,0.55,false,from_after_authors
